realtime,sleep_stage,motor,locomotion,grooming,nestgrooming,nestactivity,rearing,drinking,eating,nesting
2022-09-25 01:34:57.835,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:34:58.355,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:34:58.876,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:34:59.395,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:34:59.916,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:00.435,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:00.955,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:01.476,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:01.995,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:02.515,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:03.036,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:03.555,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:04.075,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:04.605,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:05.115,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:05.636,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:06.155,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:06.675,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:07.196,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:07.715,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:08.235,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:08.755,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:09.275,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:09.796,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:10.315,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:10.835,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:11.355,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:11.875,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:12.396,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:12.915,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:13.435,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:13.956,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:14.475,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:14.996,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:15.515,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:16.035,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:16.556,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:17.075,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:17.595,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:18.115,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:18.635,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:19.156,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:19.675,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:20.195,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:20.732,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:21.235,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:21.756,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:22.275,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:22.795,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:23.316,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:23.835,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:24.356,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:24.875,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:25.395,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:25.916,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:26.435,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:26.955,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:27.475,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:27.995,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:28.516,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:29.035,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:29.555,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:30.076,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:30.595,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:31.116,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:31.635,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:32.155,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:32.676,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:33.195,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:33.715,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:34.235,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:34.755,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:35.276,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:35.795,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:36.315,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:36.835,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:37.355,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:37.886,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:38.395,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:38.915,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:39.436,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:39.955,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:40.476,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:40.995,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:41.515,W,0,0,0,0,1,0,0,0,0
2022-09-25 01:35:42.036,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:42.555,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:43.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:43.595,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:44.115,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:44.636,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:45.155,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:45.675,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:46.195,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:46.715,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:47.236,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:47.755,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:48.275,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:48.796,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:49.315,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:49.835,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:50.355,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:50.875,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:51.396,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:51.915,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:52.435,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:52.955,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:53.475,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:53.996,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:54.515,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:55.035,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:55.556,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:56.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:56.596,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:57.115,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:57.635,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:58.156,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:58.675,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:59.195,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:35:59.715,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:00.235,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:00.756,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:01.275,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:01.795,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:02.315,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:02.835,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:03.356,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:03.875,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:04.395,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:04.916,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:05.435,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:05.955,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:06.475,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:06.995,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:07.516,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:08.035,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:08.555,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:09.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:09.595,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:10.116,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:10.635,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:11.155,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:11.676,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:12.195,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:12.716,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:13.235,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:13.755,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:14.276,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:14.795,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:15.315,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:15.835,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:16.355,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:16.876,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:17.395,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:17.915,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:18.435,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:18.955,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:19.476,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:19.995,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:20.515,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:21.036,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:21.555,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:22.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:22.595,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:23.115,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:23.636,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:24.155,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:24.675,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:25.195,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:25.715,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:26.236,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:26.755,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:27.275,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:27.795,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:28.315,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:28.836,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:29.355,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:29.875,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:30.396,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:30.915,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:31.435,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:31.955,NR,0,0,0,0,0,0,0,0,0
